nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,0,0,-6.3229453,106.8212563,"jl. maninjo no.1, rt.1/rw.5, jagakarsa, kota jakarta selatan",ChIJVZrs5N7taS4RQaK0-Nt1plg,0
warteg jaya,4.4,8,-6.3216214,106.8254975,"jl. h.mursid no.99, rt.4/rw.3, jagakarsa, kota jakarta selatan",ChIJITDdtt3taS4RMlPKgRBYOnU,0
warteg indah,0,0,-6.3209838,106.8254478,"jl. wates, rt.11/rw.5, jagakarsa, kota jakarta selatan",ChIJS5nDvt3taS4RwSqZ6iAIzvk,0
warteg bahari,4.6,12,-6.3174566,106.8190233,"jl. pepaya raya no.1a, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJkSYZNODtaS4R_MdLHjzN4Vk,0
warteg latanza,4.3,6,-6.3266287,106.8198726,"jl. raya jagakarsa, rt.5/rw.2, jagakarsa, kota jakarta selatan",ChIJuZ6079jtaS4RQwWxzMNeLJE,0
wahyoo warteg barokah,3.7,7,-6.3267729,106.8218971,"jl. raya jagakarsa no.54, rt.2/rw.7, jagakarsa, kota jakarta selatan",ChIJ_6MbDtntaS4R9ijNfzhAmAY,0
dian jaya warteg,0,0,-6.3234935,106.8193304,"jl. pepaya raya, rt.3/rw.5, jagakarsa, kota jakarta selatan",ChIJ6ThMFd_taS4RM9ZrlMpzQB4,0
warteg rizquna bahari,4.6,83,-6.3275545,106.8293795,"jl. joe klp. tiga no.3, rt.6/rw.3, lenteng agung, kota jakarta selatan",ChIJs2OpeobtaS4RsHDnqShY7r4,0
wahyoo warteg redja,4,1,-6.318252999999999,106.8189174,"jl. pepaya raya no.46, rt.7/rw.5, jagakarsa, kota jakarta selatan",ChIJhycvPODtaS4RBqlNpkK5s8Y,0
warteg pak yanto,5,1,-6.3219828,106.831567,"jl. joe klp. tiga no.12, rt.1/rw.3, jagakarsa, kota jakarta selatan",ChIJPXXIHcPtaS4R_u_v2KlMK1Y,0
warteg sukasari,4.1,7,-6.320983399999999,106.825448,"jl. kebagusan raya no.5, rt.4/rw.4, kebagusan, kota jakarta selatan",ChIJeZv7vt3taS4RpP1AVjRu1L0,0
warteg berkah mulya,0,0,-6.324628700000001,106.8299584,"jl. joe klp. tiga, rt.5/rw.3, lenteng agung, kota jakarta selatan",ChIJK5kyqsTtaS4RgrPhY_LyJzs,0
warteg yuli,0,0,-6.3268871,106.8217501,"jl. raya jagakarsa, rt.2/rw.7, jagakarsa, kota jakarta selatan",ChIJ967mDtntaS4RxrJZrLkqIao,0
warteg caca,4,1,-6.3228193,106.8270732,"jl. klp. 3 no.49, rt.3/rw.3, jagakarsa, kota jakarta selatan",ChIJJcWm5dztaS4RcQXs4_AUoFY,0
warteg berkah,4.6,7,-6.3154002,106.8252704,"jl. kebagusan raya no.104a, rt.2/rw.4, kebagusan, kota jakarta selatan",ChIJbzgE6ubtaS4R2JXQt6ADxG0,0
warteg linda,3.3,3,-6.327385,106.8239089,"jl. raya jagakarsa, rt.9/rw.7, jagakarsa, kota jakarta selatan",ChIJrQb_KtrtaS4RYSsgr1nXGNw,0
warteg galih,5,3,-6.316114499999999,106.8286918,"rt.10/rw.4, kebagusan, south jakarta city",ChIJu-PkGfjtaS4Rhc-GBnfLK3M,0
warteg anugrah jaya,4.3,10,-6.3268575,106.828703,"jl. klp. hijau no.48a, rt.5/rw.3, jagakarsa, kota jakarta selatan",ChIJAdyQJ9vtaS4RjbTBwYirZ8Q,0
warteg dani,5,1,-6.3230673,106.8304697,"jl. joe klp. tiga no.33, rt.1/rw.3, lenteng agung, kota jakarta selatan",ChIJW4duL0XtaS4RG3awtH5cJfo,0
warteg caca,4.2,5,-6.316282999999999,106.8274452,"jl. kebagusan iv no.20, rt.5/rw.4, kebagusan, kota jakarta selatan",ChIJ8ZvjT-btaS4RGwlr22A8qto,0
